HR,RBI,AVG,OPS,yrsInLeague,ASG_Result
23,69,0.282208589,0.788162431,4,YES
25,85,0.282271945,0.797040251,2,YES
1,22,0.27593819,0.684676161,6,YES
3,44,0.308681672,0.781485752,9,YES
13,47,0.271052632,0.760976372,4,YES
15,68,0.229473684,0.615831245,5,YES
17,60,0.268965517,0.877832512,1,YES
27,71,0.277108434,0.900714975,2,YES
13,54,0.242105263,0.695987094,0,YES
17,68,0.278026906,0.778581805,14,YES
7,81,0.319738989,0.775719623,2,YES
19,89,0.327669903,0.956353262,2,YES
17,41,0.278625954,0.869979801,6,YES
26,87,0.240924092,0.752553362,5,YES
10,65,0.281927711,0.791604964,0,YES
8,41,0.296969697,0.762166781,0,YES
28,84,0.275438596,0.807928475,1,YES
38,112,0.280733945,0.929233028,1,YES
2,30,0.24361949,0.584518867,8,YES
15,81,0.248638838,0.702583625,7,YES
17,62,0.2625,0.811838565,3,YES
8,76,0.274873524,0.738217009,11,YES
31,85,0.26371308,0.839471018,8,YES
22,69,0.260162602,0.764145757,2,YES
3,29,0.291187739,0.732011394,2,YES
12,56,0.27293578,0.768957124,7,YES
15,80,0.244575937,0.72302486,2,YES
15,83,0.304964539,0.797826062,2,YES
1,18,0.304832714,0.710687082,0,YES
16,56,0.283887468,0.812340888,1,YES
14,52,0.267326733,0.817833569,5,YES
10,44,0.30183727,0.80427797,3,YES
25,84,0.32196162,0.98076712,2,YES
18,82,0.280230326,0.794549606,3,YES
0,24,0.301242236,0.73661309,1,YES
5,69,0.288814691,0.708317149,6,YES
12,56,0.268608414,0.776023639,6,YES
28,81,0.270650264,0.830526264,1,YES
14,51,0.28271028,0.774206811,3,YES
26,82,0.282238443,0.907480059,1,YES
30,87,0.255605381,0.859055188,6,YES
8,48,0.260663507,0.667184889,2,YES
34,130,0.320945946,0.934310729,3,YES
26,100,0.307101727,0.910777256,5,YES
5,24,0.26119403,0.723137559,5,YES
1,42,0.32513181,0.815366452,2,YES
11,69,0.28836425,0.744130237,1,YES
36,88,0.231075697,0.778156746,4,YES
43,109,0.260273973,0.832907057,3,YES
14,64,0.281663516,0.763112505,3,YES
26,80,0.240075614,0.736769132,1,YES
6,42,0.278592375,0.702757557,9,YES
7,61,0.325102881,0.788255839,3,YES
7,49,0.284710018,0.712124266,7,YES
31,106,0.271812081,0.868973203,3,YES
13,69,0.282520325,0.79726599,3,YES
7,24,0.301886792,0.851260061,2,YES
13,78,0.285714286,0.733401508,5,YES
14,81,0.270935961,0.753373472,9,YES
25,85,0.282786885,0.879321646,4,YES
23,71,0.242474916,0.761558414,2,YES
7,54,0.25862069,0.707620979,4,YES
31,128,0.296577947,0.914323636,6,YES
9,32,0.23880597,0.661328773,2,YES
8,53,0.287804878,0.788713637,9,YES
11,73,0.282258065,0.720840655,8,YES
10,64,0.281034483,0.731341972,4,YES
32,98,0.27768595,0.859817363,7,YES
2,22,0.229765013,0.590286716,2,YES
12,62,0.267515924,0.79271427,0,YES
10,39,0.224274406,0.644342147,6,YES
13,38,0.258358663,0.809890048,2,YES
10,75,0.284768212,0.732740633,5,YES
9,55,0.294478528,0.7828841,1,YES
30,75,0.319783198,1.045788166,5,YES
21,74,0.275862069,0.854645637,1,YES
14,74,0.273476112,0.748582875,6,YES
15,83,0.325088339,0.894428388,2,YES
8,47,0.275157233,0.709891868,2,YES
2,35,0.275618375,0.670839265,3,YES
9,49,0.25621118,0.686883449,6,YES
7,32,0.236790607,0.673953675,4,YES
7,34,0.224199288,0.672642072,2,YES
15,70,0.276923077,0.774566875,4,YES
27,93,0.269624573,0.838626342,2,YES
10,69,0.246435845,0.712845453,3,YES
30,97,0.300869565,0.916489681,9,YES
2,45,0.262569832,0.684532123,5,YES
4,32,0.283154122,0.741935484,1,YES
18,73,0.268292683,0.736474734,2,YES
32,92,0.296500921,0.929874723,3,YES
7,56,0.304054054,0.74043961,4,YES
15,48,0.229591837,0.713049537,11,YES
11,53,0.282868526,0.778587195,5,YES
17,46,0.25,0.757004058,7,YES
23,100,0.274671053,0.762190402,3,YES
7,56,0.253112033,0.683009391,6,YES
19,73,0.233521657,0.721160932,2,YES
5,53,0.3014862,0.750535015,4,YES
25,70,0.300469484,0.883769429,5,YES
11,41,0.202505219,0.576444849,6,YES
16,52,0.265232975,0.836566055,3,YES
18,81,0.282392027,0.807414287,4,YES
14,46,0.262390671,0.811261301,5,YES
8,50,0.317307692,0.822516026,1,YES
18,52,0.196185286,0.696826414,1,YES
16,43,0.190972222,0.640481246,6,YES
24,81,0.295049505,0.891555038,3,YES
16,77,0.298701299,0.82567718,1,YES
6,45,0.269417476,0.712872876,5,YES
18,61,0.287037037,0.82832618,1,YES
6,48,0.284144427,0.693338644,5,YES
9,59,0.248120301,0.674038776,4,YES
24,84,0.270588235,0.794937611,2,YES
15,65,0.285714286,0.774874738,5,YES
15,53,0.259459459,0.823283903,12,YES
5,50,0.244725738,0.626066386,4,YES
6,40,0.266666667,0.701839162,0,YES
22,81,0.2890625,0.83244918,1,YES
38,116,0.310891089,1.061566723,5,YES
28,93,0.264214047,0.791914857,1,YES
13,51,0.251815981,0.738685443,2,YES
10,57,0.306425041,0.765632166,8,YES
11,64,0.254612546,0.740564716,4,YES
15,42,0.212471132,0.710783086,3,YES
6,29,0.256809339,0.7352492,2,YES
18,68,0.260964912,0.764934597,4,YES
9,62,0.321917808,0.841635046,1,YES
21,86,0.275229358,0.852169131,6,YES
4,38,0.269720102,0.760847295,10,YES
9,43,0.265993266,0.770036722,4,YES
25,66,0.235697941,0.781434482,1,YES
10,79,0.317604356,0.813720508,5,YES
8,44,0.265033408,0.682602382,11,YES
17,66,0.271825397,0.816465084,7,YES
26,82,0.260299625,0.827762765,3,YES
29,79,0.239564428,0.781311029,1,YES
10,70,0.290519878,0.775469047,2,YES
6,35,0.276985743,0.692033156,5,YES
23,80,0.232673267,0.74233032,2,YES
36,103,0.31809872,0.95063382,6,YES
9,60,0.255050505,0.699242424,4,YES
28,93,0.301346801,0.887620668,12,YES
22,86,0.319112628,0.879702209,7,YES
25,91,0.315602837,0.901597182,6,YES
27,119,0.294407895,0.879956206,3,YES
16,61,0.273062731,0.785056846,2,YES
18,93,0.297161937,0.822461861,4,YES
2,27,0.23046875,0.661967094,3,YES
6,53,0.302428256,0.800807583,1,YES
40,121,0.261702128,0.908601767,8,YES
9,30,0.246212121,0.754367782,1,YES
32,85,0.253968254,0.780381155,3,YES
9,51,0.278195489,0.751672284,3,YES
10,68,0.323529412,0.8101676,11,YES
19,51,0.260240964,0.767583338,5,YES
19,78,0.267034991,0.803085583,5,YES
10,73,0.284172662,0.727920295,4,YES
15,77,0.300429185,0.832143006,1,YES
2,51,0.278571429,0.656447909,2,YES
4,66,0.322891566,0.819445223,0,YES
22,63,0.288461538,0.923629531,1,YES
22,79,0.246062992,0.769302275,7,YES
19,61,0.271820449,0.815594941,3,YES
22,72,0.263757116,0.832601222,5,YES
21,57,0.276041667,0.80907634,3,YES
7,55,0.288713911,0.76272706,3,YES
16,64,0.289527721,0.807347923,2,YES
16,67,0.273743017,0.717809902,7,YES
5,36,0.300242131,0.758478621,2,YES
24,115,0.231861199,0.680980679,7,YES
4,42,0.275675676,0.689251016,2,YES
6,45,0.272479564,0.764169583,7,YES
33,85,0.269902913,0.82659365,4,YES
16,83,0.287878788,0.843051515,3,YES
10,81,0.263502455,0.690278334,1,YES
11,49,0.306666667,0.822168022,3,YES
33,123,0.314782609,0.974626212,4,YES
4,33,0.258227848,0.690228788,1,YES
13,100,0.269421488,0.723039091,5,YES
27,92,0.260638298,0.784371245,4,YES
26,114,0.266666667,0.844177205,10,YES
16,68,0.269016698,0.741595034,3,YES
2,28,0.226452906,0.606558125,4,YES
3,27,0.226244344,0.562030626,10,YES
10,46,0.24796748,0.643397813,2,YES
23,78,0.22754491,0.722666751,3,YES
3,36,0.276209677,0.724280223,3,YES
2,57,0.263616558,0.670206972,4,YES
26,73,0.210743802,0.77837014,5,YES
1,50,0.281415929,0.701153378,0,YES
25,68,0.246013667,0.758464097,2,YES
4,44,0.252173913,0.662744565,2,YES
4,74,0.287988423,0.715125262,1,YES
34,87,0.261627907,0.892894917,1,YES
19,70,0.268502582,0.769129066,3,YES
23,86,0.265267176,0.803127104,2,YES
18,70,0.258561644,0.771661343,5,YES
22,75,0.245583039,0.718368456,7,YES
4,28,0.247619048,0.596320346,2,YES
29,82,0.260869565,0.815392707,2,YES
32,99,0.281786942,0.856103621,4,YES
30,95,0.297709924,0.885464377,7,YES
29,82,0.248995984,0.868852895,5,YES
16,86,0.312043796,0.841353813,6,YES
18,77,0.291457286,0.820075801,1,YES
45,125,0.27090301,0.888651828,4,YES
38,109,0.32423756,0.959838396,2,YES
24,101,0.306320908,0.876073833,3,NO
20,77,0.253816794,0.793032102,6,NO
44,102,0.259515571,0.892195193,2,NO
1,24,0.248192771,0.600911755,6,NO
1,21,0.262458472,0.661832161,4,NO
3,19,0.260479042,0.663871717,4,NO
20,68,0.250463822,0.779469869,6,NO
16,71,0.268876611,0.755614194,6,NO
8,48,0.257884972,0.695588189,4,NO
8,42,0.260273973,0.651481864,11,NO
18,67,0.281081081,0.773802559,1,NO
0,24,0.199300699,0.513427467,6,NO
5,52,0.283018868,0.723709072,5,NO
7,40,0.278145695,0.743259224,4,NO
5,26,0.251336898,0.703836265,6,NO
15,48,0.288321168,0.92548191,6,NO
17,59,0.268765133,0.773580964,6,NO
12,68,0.273972603,0.708040751,2,NO
4,44,0.251592357,0.658070082,5,NO
13,39,0.291666667,0.899073794,9,NO
2,31,0.324324324,0.82638439,0,NO
3,79,0.285714286,0.678568249,2,NO
12,50,0.278350515,0.769113597,12,NO
10,56,0.243421053,0.714428535,6,NO
17,47,0.275541796,0.876559045,1,NO
6,32,0.264957265,0.707105064,2,NO
4,47,0.261640798,0.693009326,7,NO
11,40,0.255154639,0.77315256,1,NO
10,51,0.324582339,0.8334551,0,NO
18,76,0.252465483,0.784650363,2,NO
3,21,0.26459144,0.65427295,0,NO
12,51,0.257309942,0.749651908,2,NO
2,31,0.281368821,0.715478397,4,NO
10,46,0.264642082,0.714856357,9,NO
44,122,0.313620072,1.027505065,3,NO
12,45,0.258666667,0.735111111,2,NO
8,50,0.239583333,0.592326733,9,NO
9,46,0.24933687,0.684188394,4,NO
5,37,0.25,0.654356061,3,NO
0,21,0.221574344,0.525580095,1,NO
2,24,0.218658892,0.643598793,7,NO
8,47,0.233082707,0.649212618,3,NO
15,68,0.247058824,0.697014595,6,NO
5,25,0.275793651,0.708158263,6,NO
31,99,0.279850746,0.868710634,4,NO
9,39,0.252279635,0.749885922,8,NO
8,63,0.268376068,0.71418957,8,NO
20,67,0.258205689,0.748626451,7,NO
1,26,0.291021672,0.713352698,3,NO
4,21,0.270358306,0.695883045,1,NO
9,34,0.167330677,0.527450803,4,NO
0,24,0.255079007,0.599973954,5,NO
1,21,0.219512195,0.521777003,6,NO
6,36,0.259681093,0.757412337,2,NO
7,19,0.235087719,0.630390492,1,NO
19,52,0.282828283,0.861545973,3,NO
20,78,0.272138229,0.805465157,4,NO
2,34,0.245508982,0.654812715,1,NO
13,46,0.212276215,0.595107523,8,NO
0,12,0.222222222,0.544924165,0,NO
7,41,0.20758483,0.569331283,3,NO
2,42,0.291404612,0.742367845,1,NO
22,92,0.267015707,0.794031521,3,NO
24,107,0.306291391,0.858008212,7,NO
14,47,0.259708738,0.72135485,1,NO
11,46,0.220394737,0.694656702,2,NO
12,49,0.246887967,0.712203044,6,NO
11,66,0.277777778,0.792661503,1,NO
18,76,0.290429043,0.798684899,2,NO
5,37,0.242524917,0.612181617,5,NO
1,21,0.268518519,0.680241755,7,NO
0,31,0.294117647,0.703864608,4,NO
15,54,0.266219239,0.770470699,1,NO
10,72,0.254700855,0.68493839,2,NO
5,28,0.237951807,0.626816458,2,NO
22,60,0.198630137,0.65831127,1,NO
2,23,0.235059761,0.613632114,0,NO
0,24,0.244966443,0.591737122,3,NO
9,45,0.245136187,0.676575875,3,NO
7,56,0.299771167,0.815616813,9,NO
14,60,0.260387812,0.806439613,6,NO
27,84,0.224899598,0.748045563,3,NO
9,33,0.286231884,0.82393388,2,NO
20,65,0.277542373,0.791468431,3,NO
7,56,0.280851064,0.746743295,1,NO
5,45,0.25,0.67201319,2,NO
10,59,0.271293375,0.685038306,7,NO
5,30,0.264150943,0.680357888,0,NO
7,48,0.25,0.69170259,2,NO
2,26,0.276190476,0.694612117,7,NO
8,40,0.285714286,0.819375219,4,NO
12,42,0.248101266,0.773414915,8,NO
5,17,0.218518519,0.604205901,2,NO
10,61,0.247755835,0.67081282,10,NO
11,35,0.276223776,0.785026085,2,NO
3,43,0.293381038,0.701275469,5,NO
4,32,0.274691358,0.679237303,11,NO
6,67,0.271973466,0.667522261,7,NO
9,47,0.277966102,0.7944138,3,NO
8,46,0.284829721,0.794630768,10,NO
11,55,0.241071429,0.686215891,5,NO
28,70,0.280922432,0.875469394,3,NO
26,86,0.272904483,0.868417825,11,NO
1,18,0.2125,0.534746813,6,NO
3,28,0.237226277,0.604127863,6,NO
16,52,0.252525253,0.795959596,4,NO
8,49,0.257606491,0.669728226,6,NO
20,67,0.241438356,0.673323252,4,NO
2,20,0.223744292,0.532107093,6,NO
20,63,0.252465483,0.745089579,3,NO
9,52,0.32361516,0.874674235,0,NO
11,46,0.246268657,0.699473485,3,NO
0,22,0.25483871,0.652396047,5,NO
26,77,0.268408551,0.893149873,3,NO
11,35,0.263250883,0.671627102,13,NO
