G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yrsInLeague,ASG_Result
145,503,59,136,28,0,16,78,13,11,53,103,13,2,1,5,12,5,YES
139,443,40,99,25,1,7,46,5,5,45,101,4,4,4,5,11,5,YES
112,389,53,101,14,2,3,33,3,7,18,28,0,2,10,2,10,5,YES
127,481,92,142,27,3,26,92,20,5,48,105,8,7,0,6,11,3,YES
155,616,70,175,17,13,1,53,70,14,43,42,5,2,7,4,6,5,YES
128,454,48,130,25,3,1,37,20,6,22,69,1,9,5,4,9,4,YES
118,371,57,120,16,5,5,48,4,4,27,15,6,5,5,2,10,10,YES
123,337,34,93,21,0,5,33,1,1,37,33,0,0,2,2,5,2,YES
145,494,88,140,33,2,26,92,23,7,91,81,9,1,0,4,10,8,YES
159,641,107,175,50,2,4,53,29,12,71,95,1,1,15,6,3,3,YES
131,432,50,117,20,3,16,61,2,3,38,78,4,11,1,0,19,1,YES
157,606,97,173,27,12,3,35,61,12,63,140,1,2,5,2,1,3,YES
163,650,74,206,29,2,11,84,2,5,36,47,11,1,1,3,26,10,YES
125,439,64,107,16,2,12,43,21,6,36,52,3,5,5,3,8,1,YES
148,555,87,142,25,8,17,58,21,5,56,134,0,6,13,6,3,6,YES
103,323,31,77,13,0,9,42,0,2,24,61,4,0,0,5,9,2,YES
162,579,74,165,34,5,3,50,31,6,23,83,1,6,8,4,12,6,YES
154,640,85,156,27,7,12,39,70,13,58,105,2,7,6,1,7,3,YES
141,532,68,148,31,5,17,65,8,2,36,106,4,8,0,3,13,3,YES
153,605,78,153,34,2,34,94,1,1,38,125,5,2,0,4,19,5,YES
140,486,58,128,25,3,11,51,3,4,60,47,3,1,7,6,12,4,YES
150,562,66,171,38,4,9,72,0,1,29,50,9,1,4,6,19,4,YES
141,514,74,135,15,1,33,96,2,4,56,107,2,9,1,9,7,2,YES
115,398,49,98,19,3,2,24,44,4,43,110,2,3,5,0,3,3,YES
149,544,96,142,20,1,22,78,12,3,77,134,1,7,3,5,18,12,YES
146,481,71,126,23,6,10,59,14,9,28,101,1,5,0,5,14,1,YES
132,467,58,124,27,1,10,61,4,3,41,95,3,7,1,3,13,5,YES
134,569,80,143,18,4,5,47,34,7,29,64,1,2,3,6,7,7,YES
106,449,68,126,23,5,4,29,12,2,33,98,0,2,5,3,7,2,YES
155,556,88,158,39,5,19,71,17,5,55,97,2,7,1,7,15,1,YES
162,528,62,132,22,9,4,47,8,11,27,44,0,3,11,3,5,7,YES
113,321,46,93,24,1,8,44,3,4,57,27,15,1,4,4,9,2,YES
156,620,87,190,32,4,7,74,9,4,40,49,0,4,10,9,12,10,YES
122,420,63,108,15,7,26,74,19,6,47,128,9,4,0,2,5,0,YES
104,294,28,67,12,0,7,31,2,2,36,71,0,2,1,0,12,1,YES
149,494,59,132,15,5,5,42,10,10,33,97,7,2,7,2,13,3,YES
141,538,93,167,43,5,21,89,14,8,28,99,2,7,0,8,7,5,YES
88,280,24,74,16,0,3,27,0,1,5,42,0,0,2,1,10,0,YES
142,460,68,127,11,4,6,50,17,14,43,55,0,0,12,5,6,2,YES
149,557,86,130,30,4,19,64,16,10,70,108,2,20,1,4,7,3,YES
126,299,33,65,10,0,14,34,1,0,40,112,1,2,0,0,7,6,YES
159,634,84,195,35,13,11,90,13,10,46,49,6,2,9,6,8,2,YES
148,495,85,114,21,1,24,68,23,7,86,104,25,3,2,8,6,6,YES
110,461,58,136,18,1,4,52,1,2,17,27,0,7,8,2,18,8,YES
84,285,17,73,10,2,1,32,0,0,13,23,1,1,5,1,11,10,YES
113,440,64,118,18,0,21,61,7,6,25,71,1,2,2,4,9,2,YES
97,329,42,86,21,0,20,61,1,2,29,52,2,1,4,3,9,4,YES
139,490,76,121,24,2,31,102,1,1,96,166,7,12,0,9,6,7,YES
155,634,106,172,27,5,11,53,33,16,61,96,0,6,2,8,14,2,YES
150,553,99,151,38,4,19,67,8,7,52,88,1,11,4,7,7,2,YES
120,366,68,116,21,9,6,36,35,12,49,29,3,5,3,1,4,3,YES
132,393,66,133,27,3,21,74,5,9,43,65,6,0,0,9,7,7,YES
131,475,72,121,25,5,17,55,9,2,47,90,1,0,1,3,11,6,YES
146,551,65,156,37,0,18,100,1,2,43,79,3,10,0,10,9,3,YES
138,537,82,168,28,10,13,90,19,7,30,80,6,2,0,4,16,3,YES
144,530,90,154,37,6,6,45,5,5,35,32,1,7,6,5,9,9,YES
142,535,76,171,37,4,20,88,13,4,62,73,6,3,0,9,20,2,YES
160,488,46,120,21,5,6,54,4,6,30,65,1,5,21,3,12,2,YES
158,604,74,170,36,2,17,82,9,9,59,90,5,3,0,6,25,8,YES
143,538,87,163,34,1,31,107,2,0,59,121,9,4,0,4,17,5,YES
142,519,77,144,30,1,31,100,4,0,38,96,4,6,3,7,12,3,YES
154,584,95,150,36,2,31,109,10,7,37,92,7,3,1,3,25,6,YES
86,304,34,94,12,2,1,37,7,4,23,21,5,0,4,3,9,1,YES
154,496,55,136,15,3,5,45,3,4,28,48,0,3,23,2,9,1,YES
143,551,108,168,26,7,29,102,17,4,82,72,8,0,1,7,15,5,YES
147,540,91,140,33,2,23,94,2,0,64,129,4,7,0,9,10,2,YES
155,581,91,168,35,2,21,89,1,0,52,96,3,0,0,8,20,5,YES
94,285,25,66,13,1,5,32,2,0,22,35,6,3,2,4,2,6,YES
126,445,46,99,19,4,1,24,30,12,29,42,0,3,9,0,6,3,YES
159,582,75,161,18,4,15,79,2,3,97,87,3,1,3,3,9,1,YES
119,378,40,79,13,2,2,29,13,6,32,65,8,2,5,4,11,2,YES
159,618,85,175,33,2,30,96,11,3,63,82,4,5,1,5,15,5,YES
82,290,54,87,20,0,17,57,0,0,39,56,2,2,0,2,10,8,YES
76,289,38,87,16,0,11,39,0,0,12,27,3,1,0,3,14,1,YES
